1/1,あけましておめでとうございます！元日ですね🎍
8/13,左利きの日。個性を大切にする日。
8/14,裸足の日。地面の感触を楽しんで。
8/15,終戦記念日。平和の尊さを噛み締める日。
8/16,女子大生の日。学びの意欲を応援。
8/17,パイナップルの日。トロピカルな気分で。
8/18,米の日。一粒一粒を大切に食べよう🌾
8/19,バイクの日。風を切って走りたい🏍️
8/20,蚊の日。虫除けをしっかりしましょう。
8/21,献血の日。誰かの命を繋ぐアクション。
8/22,チンチン電車の日。レトロな風景を。
8/23,油の日。料理のコクを引き出す力。
8/24,バニラの日。王道の甘さを楽しもう。
8/25,即席ラーメンの日。発明の偉大さを感じる🍜
8/26,ユースホステルの日。旅の出会いを大切に。
8/27,男はつらいよの日。寅さんの優しさを。
8/28,テレビCMの日。短い映像のドラマを楽しむ。
8/29,焼肉の日。スタミナ満点
8/30,富士山測候所記念日。高い場所からの視点。
8/31,野菜の日。不足しがちな栄養を補おう🥗
9/1,防災の日。もしもに備えて点検を。
9/2,靴の日。一歩ずつしっかり歩もう。
9/3,ドラえもんの誕生日。未来の道具が欲しい！🤖
9/4,くしの日。髪を整えて身だしなみチェック。
9/5,石炭の日。エネルギーの歴史に触れて。
9/6,黒の日。シックな黒でおしゃれを。
9/7,CMソングの日。思わず口ずさんじゃう♪
9/8,サンザシの日。健康に良い実を。
9/9,救急の日。応急処置を学んでおく。
9/10,下水道の日。見えないインフラに感謝。
9/11,公衆電話の日。街角の安心を見つけよう。
9/12,宇宙の日。夜空を見上げて無限の想像を。
9/13,世界の法の日。正義と秩序を考える日。
9/14,メンズバレンタインデー。男性から愛を。
9/15,老人の日。人生の先輩を敬いましょう。
9/16,競馬の日。疾走する馬の力強さ。
9/17,モノレールの日。空中の移動を体験。
9/18,かいわれ大根の日。小さな芽の大きな栄養。
9/19,苗字の日。ルーツを知るのも楽しい。
9/20,バスの日。のんびり路線バスの旅。
9/21,ファッションショーの日。自分のスタイルを。
9/22,フィットネスの日。体を動かして健康に！💪
9/23,不動産の日。住まいの大切さを考える。
9/24,清掃の日。街を綺麗に保ちましょう。
9/25,主婦休みの日。たまにはゆっくりして。
9/26,台風襲来の日。備えを万全にしましょう。
9/27,世界観光の日。旅の魅力を語り合おう。
9/28,パソコンの日。文明の利器に感謝💻
9/29,招き猫の日。幸運が訪れますように🐾
9/30,くるみの日。脳に良いナッツを食べよう。
10/1,コーヒーの日。香りで落ち着く一杯☕
10/2,豆腐の日。ヘルシーで万能な食材。
10/3,登山の日。頂上を目指す一歩を。
10/4,いわしの日。お魚を食べて元気に🐟
10/5,時刻表記念日。旅の計画を立てるワクワク。
10/6,役所改革の日。より良い社会を目指して。
10/7,盗難防止の日。戸締りをしっかりと。
10/8,木の日。木のぬくもりを感じて。
10/9,道具の日。道具をメンテナンスしよう。
10/10,銭湯の日。広いお風呂でリラックス♨️
10/11,鉄道の日。ガタンゴトンと旅へ出よう。
10/12,豆乳の日。美容と健康に一杯。
10/13,サツマイモの日。秋の味覚を堪能🍠
10/14,PTA結成の日。教育を支える力。
10/15,きのこの日。秋の香りを楽しみましょう🍄
10/16,世界食料デー。食べ物の大切さを考える。
10/17,貯蓄の日。未来のために少しずつ。
10/18,統計の日。データから真実を見抜こう。
10/19,バーゲンの日。お得に買い物を楽しもう。
10/20,リサイクルの日。資源を大切に。
10/21,あかりの日。灯火のありがたみを感じる。
10/22,パラシュートの日。勇気を持って飛び出す。
10/23,電信電話記念日。通信の歴史に驚く。
10/24,文鳥の日。小さな命の可愛さに癒される。
10/25,パスタの日。お好みのソースでどうぞ🍝
10/26,原子力の日。エネルギーを考える日。
10/27,文字・活字文化の日。読書の秋本番。
10/28,速記の日。スピードと正確さを。
10/29,おしぼりの日。手を拭いて心もリセット。
10/30,初恋の日。甘酸っぱい思い出。
10/31,ハロウィン。仮装して楽しもう🎃
11/1,灯台記念日。航路を照らす光に感謝。
11/2,タイツの日。足元を暖かくして。
11/3,文化の日。自由と平和を愛する日。
11/4,ユネスコ憲章記念日。平和を願う心。
11/5,縁結びの日。良いご縁がありますように。
11/6,アパート記念日。住まいの形を考える。
11/7,鍋の日。みんなで囲んで温まろう🍲
11/8,いい歯の日。歯磨きを丁寧に🦷
11/9,119番の日。防火意識を高めよう🚒
11/10,エレベーターの日。垂直の移動に感謝。
11/11,ポッキー＆プリッツの日。シェアして楽しもう🥢
11/12,皮膚の日。スキンケアで健やかに。
11/13,うるしの日。伝統工芸の美しさ。
11/14,パチンコの日。たまの息抜きにいかが？
11/15,七五三。子どもの健やかな成長を願う。
11/16,幼稚園記念日。教育の第一歩を祝う。
11/17,将棋の日。一手一手に魂を込めて。
11/18,土木の日。社会の基盤を支える力。
11/19,鉄道電化の日。進化する交通に期待。
11/20,ピザの日。熱々をみんなで食べよう🍕
11/21,インターネット記念日。繋がる世界に感謝。
11/22,いい夫婦の日。パートナーに「ありがとう」。
11/23,勤労感謝の日。働くすべての人に感謝！
11/24,オペラ記念日。芸術の深みに浸ろう。
11/25,ハイビジョンの日。鮮やかな映像を楽しむ。
11/26,いい風呂の日。お風呂でしっかり温まる♨️
11/27,更生保護記念日。再出発を支える心。
11/28,税関記念日。水際を守る仕事に感謝。
11/29,いい肉の日。美味しいお肉で元気に🍖
11/30,カメラの日。思い出を一枚に残そう📸
12/1,映画の日。大きなスクリーンで感動を。
12/2,日本人宇宙飛行記念日。宇宙への夢。
12/3,カレンダーの日。来年の予定を考えよう。
12/4,血清療法の日。医学の進歩に感謝。
12/5,バミューダトライアングルの日。謎を追う。
12/6,姉の日。家族の絆を大切に。
12/7,クリスマスツリーの日。街が華やぐ季節🎄
12/8,針供養。道具を労い
12/9,マウスの日。PC操作を支えてくれる。
12/10,世界人権デー。尊厳を守る一日に。
12/11,百円玉の日。お金の価値を考える。
12/12,漢字の日。今年の漢字は何でしょう？
12/13,正月事始め。準備を始めましょう。
12/14,討ち入りの日。忠臣蔵の物語を思う。
12/15,観光バス記念日。皆で楽しくお出かけ。
12/16,電話創業の日。声のコミュニケーション。
12/17,飛行機の日。ライト兄弟の勇気を称えて✈️
12/18,東京駅完成記念日。歴史ある建築を愛でる。
12/19,日本人初飛行の日。空への憧れを形に。
12/20,デパートの日。お買い物で気分を上げよう。
12/21,遠距離恋愛の日。想いを繋ぐ一日。
12/22,冬至。ゆず湯に入ってカボチャを食べよう。
12/23,テレホンカードの日。懐かしのアイテム。
12/24,クリスマスイブ。素敵な夜を過ごして🎅
12/25,クリスマス。幸せが溢れる一日に🎄
12/26,プロ野球誕生の日。熱い戦いを称えて⚾
12/27,ピーターパンの日。子どもの心を忘れずに。
12/28,ディスクジョッキーの日。音楽で繋がろう。
12/29,シャンソンの日。優雅な歌声に耳を傾けて。
12/30,地下鉄記念日。都会の足に感謝。
12/31,大晦日。一年を振り返り
